treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
15147,y,5173,y,y,y,n,3,y,y,n,n,y,n
15238,n,29,n,n,n,n,3,n,n,n,n,n,n
15336,n,3,n,n,n,n,3,n,n,n,n,n,n
15509,y,660,y,n,y,n,4,n,y,n,y,n,n
15582,n,2,n,n,n,n,3,n,n,n,n,n,n
15604,n,22,n,n,n,n,3,n,n,n,n,n,n
15735,y,1325,n,y,y,n,3,n,n,n,n,n,n
15746,y,325,n,n,y,n,4,y,n,n,n,n,n
15832,y,1321,y,n,y,n,4,n,n,n,n,n,n
15957,y,549,n,n,n,n,4,y,n,n,n,n,n
15990,n,26,n,n,n,n,3,n,n,n,n,n,n
16041,y,10204,y,y,y,n,4,y,y,y,n,y,n
16064,y,1245,n,n,y,n,3,n,n,n,n,n,n
16085,n,1,n,n,n,n,3,n,n,n,n,n,n
1609,y,3991,n,y,y,n,2,y,n,n,n,y,n
16156,n,2,n,n,n,n,3,n,n,n,n,n,n
16174,y,960,n,n,n,n,4,y,n,n,n,n,n
16322,y,2140,y,n,y,n,4,y,n,n,n,n,n
16492,y,552,n,n,y,n,3,n,n,n,n,n,n
16549,y,805,n,n,n,n,4,n,n,n,n,n,n
16550,y,924,n,n,n,n,4,y,n,n,n,y,n
16578,y,756,n,n,y,n,3,n,n,n,n,n,n
16596,y,1706,y,n,y,n,4,n,n,n,n,n,n
16606,y,369,n,n,n,n,4,n,n,n,n,n,n
16671,n,1,n,n,n,n,3,n,n,n,n,n,n
1671,y,13287,y,y,n,n,4,y,y,n,n,y,n
16710,y,1957,n,n,y,n,4,y,y,n,n,y,n
16873,y,746,y,n,y,n,4,n,n,n,n,n,n
1691,y,1024,n,n,y,n,3,y,n,n,n,n,n
16991,n,29,n,n,n,n,3,n,n,n,n,n,n
170,y,2657,n,y,n,n,5,n,n,y,n,n,n
17065,n,27,n,n,n,n,3,n,n,n,n,n,n
17072,n,2,n,n,n,n,3,n,n,n,n,n,n
17104,y,13289,y,y,y,n,4,n,n,y,n,y,n
17146,y,7641,n,y,y,y,3,y,y,n,n,y,n
172,y,9162,y,y,y,n,4,n,n,n,n,n,n
17321,y,545,y,n,y,n,4,n,n,n,n,n,n
17354,n,20,n,n,n,n,3,n,n,n,n,n,n
17416,y,854,y,y,n,n,4,y,n,n,n,n,n
17464,n,38,n,n,n,n,3,n,n,n,n,n,n
17484,y,1025,y,n,y,n,4,n,y,n,n,n,n
17554,y,3561,y,y,n,n,5,n,y,n,n,n,n
17668,y,239,n,n,n,n,4,n,n,n,n,n,n
17736,y,1032,n,n,y,n,4,y,n,n,n,n,n
17784,n,29,n,n,n,n,3,n,n,n,n,n,n
17850,y,1174,y,y,n,n,4,y,n,y,n,n,n
17864,y,3033,n,y,n,n,4,y,n,n,n,y,n
17926,n,0,n,n,n,n,3,n,n,n,n,n,n
17947,y,305,n,n,n,n,4,y,n,n,n,n,n
17955,y,7624,n,y,y,y,3,y,y,y,n,y,n
18171,y,224,n,n,n,n,5,n,n,n,n,n,n
18281,y,795,n,y,n,n,4,n,n,n,n,n,n
18351,n,30,n,n,n,n,3,n,n,n,n,n,n
18378,y,667,n,n,y,n,4,n,n,n,n,n,n
18401,n,0,n,n,n,n,3,n,n,n,n,n,n
18406,n,0,n,n,n,n,3,n,n,n,n,n,n
18486,y,413,y,n,n,n,4,n,n,n,n,n,n
18595,y,3042,y,n,y,n,4,y,n,n,n,n,n
18636,n,184,n,n,n,n,3,n,y,n,n,n,n
18639,y,212,n,n,y,n,4,n,n,n,n,n,n
1870,y,1511,n,y,y,y,4,n,n,n,n,y,n
18733,n,29,n,n,n,n,3,n,n,n,n,n,n
18738,y,667,n,n,y,n,4,n,n,n,n,n,n
18739,y,1176,y,y,n,n,4,y,n,n,n,n,n
18755,n,28,n,n,n,n,5,n,n,n,n,n,n
18818,y,4615,y,y,y,n,3,y,y,n,n,y,n
18940,y,2000,y,y,y,n,4,n,n,y,n,n,n
18990,y,450,n,n,n,n,4,y,n,n,n,n,n
19075,n,78,n,n,n,n,3,n,n,n,n,n,n
19175,y,778,n,n,n,n,5,n,n,n,n,n,n
19184,y,11661,y,y,y,n,4,y,y,n,n,y,n
19282,y,1800,y,n,y,n,3,n,y,n,n,n,n
19356,n,3,n,n,n,n,3,n,n,n,n,n,n
19421,n,29,n,n,n,n,3,n,n,n,n,n,n
19446,n,0,n,n,n,n,3,n,n,n,n,n,n
19451,n,0,n,n,n,n,3,n,n,n,n,n,n
19528,y,356,n,n,n,n,4,y,y,n,n,n,n
19575,y,271,n,n,n,n,4,n,n,n,n,n,n
19614,y,354,n,n,y,n,5,n,n,n,n,n,n
