,treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
195,10030,y,23,y,n,y,y,5.0,y,IO,n,y,n,y
776,1013,N,1,N,N,N,N,,N,N,N,N,N,N
687,1016,Y,12,N,N,Y,Y,4.0,Y,Y,N,Y,Y,Y
729,102,Y,61,Y,Y,Y,Y,4.0,Y,Y,Y,Y,Y,Y
196,10201,y,7,n,y,y,y,5.0,y,n,y,n,n,y
197,10265,y,1,n,n,n,n,3.0,n,n,n,n,n,n
198,10303,y,7,n,n,y,y,3.0,y,n,n,n,y,y
199,10336,y,13,n,n,y,y,2.0,n,n,n,n,y,y
200,10405,y,1,n,n,n,n,3.0,n,n,n,n,n,n
686,1041,Y,12,N,N,Y,N,3.0,Y,Y,Y,Y,N,Y
886,10485,Y,7,N,N,N,N,2.0,N,Y,N,N,Y,Y
201,10520,y,18,n,y,y,y,3.0,n,y,y,y,y,y
202,10553,y,4,y,y,y,n,3.0,n,n,n,n,n,y
203,10565,y,3,n,n,y,y,4.0,n,y,n,n,n,y
204,10683,y,8,y,n,y,y,4.0,n,y,y,n,n,y
685,1070,Y,10,N,N,N,N,3.0,N,Y,N,N,Y,Y
205,10707,y,6,n,n,y,y,5.0,y,n,n,n,n,y
206,10722,y,7,n,y,y,y,4.0,n,y,n,n,n,y
728,108,Y,16,N,N,Y,N,4.0,N,Y,Y,Y,N,Y
207,10861,y,8,y,n,y,y,5.0,n,y,y,y,n,y
208,10901,y,15,y,y,n,y,4.0,n,y,y,y,n,n
209,11067,y,3,n,n,y,n,5.0,y,n,n,n,n,y
887,11211,Y,14,N,Y,N,N,2.0,N,Y,Y,Y,Y,Y
885,11212,Y,6,N,N,N,N,2.0,Y,N,N,N,Y,Y
888,11214,Y,7,Y,N,N,N,2.0,N,Y,N,N,N,Y
210,11263,y,2,n,n,n,y,3.0,y,n,n,n,n,n
211,11342,y,4,y,n,n,y,4.0,y,n,n,n,n,y
889,11354,Y,12,N,Y,Y,Y,3.0,N,Y,Y,Y,N,Y
