,treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
212,11377,y,4,y,y,n,y,4.0,n,n,n,n,n,y
890,11408,Y,11,Y,N,Y,Y,3.0,N,Y,Y,N,N,Y
213,11548,y,3,y,y,n,y,4.0,y,y,n,y,n,n
214,11607,y,3,n,n,n,n,2.0,n,n,y,n,n,y
215,11614,y,9,y,n,y,y,4.0,y,y,n,y,n,y
216,11650,y,9,y,y,y,y,4.0,n,n,n,n,n,y
217,11781,y,1,n,n,y,y,3.0,n,n,n,n,n,n
777,1180,Y,3,N,N,N,N,2.0,N,N,N,N,N,Y
218,11849,y,12,n,n,y,y,3.0,n,y,n,y,n,y
891,11929,Y,5,Y,N,N,Y,4.0,Y,Y,N,N,N,Y
893,11930,Y,5,Y,N,N,N,2.0,Y,N,N,N,N,Y
219,12024,y,5,n,n,n,y,5.0,n,y,n,n,n,n
220,12031,y,6,y,n,y,y,4.0,y,y,n,n,n,y
221,12048,y,2,n,n,n,y,3.0,n,n,n,n,n,y
222,12172,y,2,n,n,y,n,4.0,n,y,y,y,n,n
223,12175,y,3,n,n,n,n,3.0,n,y,n,n,n,y
224,12176,n,2,n,n,n,y,5.0,n,y,n,n,n,y
225,12202,y,1,n,n,n,n,5.0,n,n,n,n,n,n
226,12226,n,2,y,n,n,y,5.0,n,n,n,n,n,n
227,12292,y,10,y,n,y,y,4.0,y,n,n,n,n,y
684,1230,,2,,,,,,,,,,,
228,12307,y,7,y,n,y,y,3.0,n,y,n,y,n,y
229,12507,y,6,n,y,y,y,3.0,y,y,y,n,n,y
230,12524,y,3,n,y,y,y,3.0,n,y,y,y,n,y
231,12615,y,10,y,n,n,n,4.0,n,n,n,n,n,y
270,12626,Y,2,Y,Y,N,N,4.0,N,N,N,N,N,N
271,12646,Y,12,N,N,N,N,4.0,Y,N,N,N,N,Y
272,12812,Y,12,N,N,N,N,4.0,N,N,N,N,N,Y
273,12831,Y,3,N,N,N,N,4.0,N,N,N,N,N,N
694,1296,Y,8,N,N,Y,N,3.0,N,Y,Y,Y,N,Y
274,13064,Y,4,N,Y,N,N,2.0,Y,Y,Y,N,Y,Y
275,13100,Y,5,N,N,N,N,3.0,N,N,N,N,N,Y
276,13107,Y,6,Y,Y,N,N,3.0,N,N,N,N,Y,Y
277,13175,Y,2,N,N,N,N,2.0,N,N,Y,N,N,Y
278,13219,Y,2,N,N,N,N,3.0,N,N,N,N,N,N
894,13270,Y,2,Y,N,N,N,1.0,N,Y,N,N,N,N
279,13352,Y,15,N,N,Y,N,4.0,N,N,N,N,N,N
691,1340,Y,16,N,N,Y,Y,3.0,N,Y,N,Y,Y,Y
280,13402,Y,3,Y,N,N,N,3.0,N,N,N,N,N,Y
895,13442,Y,5,Y,N,Y,N,2.0,N,Y,N,N,Y,Y
896,13446,Y,2,N,N,N,N,2.0,M,N,N,N,N,N
281,13471,Y,2,N,N,N,N,2.0,N,N,N,N,N,N
282,13491,Y,11,N,Y,Y,N,4.0,N,Y,N,Y,N,Y
283,13504,N,1,N,N,N,N,,N,N,N,N,N,N
284,13558,Y,2,N,N,N,N,3.0,N,N,N,N,N,N
897,13561,Y,8,Y,Y,N,N,3.0,N,Y,N,N,Y,Y
285,13593,Y,2,N,N,N,N,3.0,N,N,N,N,N,N
898,13668,Y,10,Y,Y,Y,Y,3.0,N,Y,Y,Y,Y,Y
899,13695,Y,5,N,N,N,N,2.0,N,Y,Y,N,N,Y
900,13747,Y,3,N,N,N,N,1.0,N,Y,N,N,N,N
286,13766,N,1,N,N,N,N,,N,N,N,N,N,N
287,13774,N,1,N,N,N,N,,N,N,N,N,N,N
688,1379,Y,7,N?,Y,N,N,4.0,N,Y,Y,N,Y,Y
901,13809,Y,1,N,N,N,N,2.0,N,Y,N,Y,N,N
902,13899,Y,8,Y,N,Y,N,3.0,N,Y,N,Y,Y,Y
288,13956,Y,10,Y,N,Y,N,4.0,Y,Y,N,Y,N,Y
289,14006,Y,10,N,Y,Y,N,4.0,N,Y,N,Y,N,Y
903,14097,Y,8,Y,N,N,N,2.0,Y,Y,N,Y,N,Y
290,14105,Y,3,N,N,Y,N,3.0,N,N,N,N,N,N
485,14152,Y,58,N,Y,Y,N,4.0,N,Y,N,Y,Y,Y
484,14287,Y,9,N,N,Y,N,4.0,N,Y,Y,Y,N,Y
483,14403,Y,17,Y,N,Y,Y,3.0,N,N,Y,N,N,Y
292,14451,Y,2,N,N,N,N,2.0,N,N,N,N,N,Y
293,14557,Y,4,N,Y,Y,N,4.0,N,Y,N,Y,N,Y
482,14604,Y,16,N,Y,Y,N,3.0,Y?,Y,Y,N,Y,Y
294,14607,Y,6,Y,Y,N,N,4.0,N,Y,Y,N,Y,Y
295,14629,Y,3,N,N,N,N,2.0,N,N,N,N,N,Y
296,14630,Y,8,N,N,Y,N,2.0,N,N,N,N,N,N
297,14650,Y,4,Y,Y,Y,N,3.0,N,Y*,Y*,N,N,Y
298,14666,Y,2,N,N,N,N,2.0,N,N,Y,N,N,Y
158,14668,y,16,y,n,y,y,3.0,y,y,y,y,y,y
480,14696,Y,14,N,N,Y,Y,3.0,N,Y,Y,Y,Y,Y
300,14765,Y,5,Y,N,N,N,4.0,N,N,N,N,N,N
301,14895,Y,2,N,N,N,N,3.0,N,N,N,N,N,N
734,15,Y,36,Y,Y,N,Y,4.0,Y,Y,Y,N,Y,Y
302,15039,Y,3,N,N,N,N,2.0,N,N,N,N,N,Y
303,15110,Y,3,Y,N,N,N,2.0,N,Y,Y,Y,N,Y
479,15147,Y,16,Y,Y,Y,Y,4.0,N,N,Y,N,Y,Y
304,15238,N,1,N,N,N,N,,N,N,N,N,N,N
305,15336,N,1,N,N,N,N,,N,N,N,N,N,N
306,15509,Y,2,Y,N,Y?,N,3.0,N,N,N,Y,N,Y
307,15582,N,1,N,N,N,N,,N,N,N,N,N,N
308,15604,N,1,N,N,N,N,,N,N,N,N,N,N
309,15735,Y,6,N,N,N,N,3.0,Y,N,N,N,N,Y
0,15746,y,2,n,n,y,n,3.0,n,y,y,y,n,y
1,15832,y,2,y,n,y,n,4.0,n,y,n,n,n,n
2,15957,y,3,n,n,n,n,4.0,n,n,n,n,n,y
3,15990,n,1,n,n,n,n,,n,n,n,n,n,n
478,16041,Y,,N,Y,Y,Y,4.0,N,Y,Y,N,N,Y
477,16064,Y,6,N,N,N,N,4.0,Y,Y,N,N,N,Y
4,16085,n,1,n,n,n,n,,n,n,n,n,n,n
683,1609,Y,41,N,Y,Y,N,3.0,Y?,Y,Y,Y,N,Y
5,16156,n,2,n,n,n,n,4.0,n,y,y,y,n,y
6,16174,y,4,n,n,n,n,4.0,n,n,n,n,n,y
7,16322,,8,,,,,,,,,,,
8,16492,y,3,n,n,n,n,4.0,n,y,y,n,n,y
9,16549,y,3,n,n,y,n,4.0,n,y,n,y,n,y
476,16550,Y,5,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
10,16578,y,3,n,n,y,n,2.0,n,y,n,n,n,y
11,16596,y,4,y,n,y,n,3.0,n,n,n,n,y,y
12,16606,y,3,n,n,n,n,4.0,y,n,n,n,n,n
13,16671,y,6,y,y,y,n,4.0,y,n,n,n,y,y
678,1671,Y,42,Y,Y,N,N,4.0,Y,Y,N,N,Y,Y
475,16710,Y,9,N,N,Y,Y,4.0,N,N,Y,N,Y,Y
14,16873,y,3,y,y,n,n,3.0,n,n,n,n,n,y
682,1691,Y,8,N,N,Y,N,2.0,N,Y,Y,Y,N,Y
15,16991,n,1,n,n,n,n,,n,n,n,n,n,n
719,170,Y,19,N,Y,N,N,5.0,N,Y,N,N,N,N
16,17065,n,1,n,n,n,n,,n,n,n,n,n,n
17,17072,n,1,n,n,n,n,,n,n,n,n,n,n
474,17104,Y,6,N,N,N,N,4.0,N,N,N,N,Y,Y
473,17146,Y,28,N,N,N,N,4.0,Y,N,Y,N,Y,Y
718,172,Y,27,Y,Y,Y,Y,4.0,N?,Y,Y?,Y,Y,Y
18,17321,y,3,n,n,y,n,4.0,n,n,n,n,n,n
19,17354,n,1,n,n,n,n,,n,n,n,n,n,n
20,17416,y,4,n,n,n,n,4.0,n,n,n,n,n,y
21,17464,n,1,n,n,n,n,,n,n,n,n,n,n
22,17484,y,4,n,n,y,n,3.0,n,n,n,n,y,y
23,17554,,,,,,,,,,,,,
24,17668,y,2,n,n,y,n,3.0,n,n,y,n,n,y
25,17736,y,3,n,n,y,n,4.0,n,n,n,n,n,y
26,17784,n,1,n,n,n,n,,n,n,n,n,n,n
27,17850,n,4,y,n,n,n,4.0,n,n,n,n,n,n
472,17864,Y,16,N,N,N,N,4.0,N,Y,N,N,Y,Y
28,17926,y,15,y,y,n,n,4.0,y,y,y,n,n,y
29,17947,y,2,y,n,n,n,4.0,n,n,n,n,n,n
471,17955,Y,35,N,N,Y,Y?,4.0,Y,Y,Y,Y,Y,Y
30,18171,n,1,n,n,n,n,4.0,n,n,n,n,n,y
31,18281,y,3,n,n,n,n,4.0,n,n,n,n,n,n
32,18351,n,1,n,n,n,n,,n,n,n,n,n,n
33,18378,y,3,n,n,y,n,4.0,y,n,n,n,n,y
34,18401,n,2,n,n,n,n,4.0,y,n,n,n,n,n
35,18406,n,2,n,n,n,n,4.0,y,n,n,n,n,n
36,18486,n,2,n,n,n,n,4.0,y,n,n,n,n,n
37,18595,n,6,y,n,y,y,5.0,y,n,n,n,n,y
38,18636,y,1,n,n,n,n,3.0,y,n,n,n,n,n
39,18639,y,1,n,n,y,n,3.0,n,n,n,n,n,y
96,1870,y,15,n,n,y,y,4.0,n,y,n,y,y,y
40,18733,n,1,n,n,n,n,,n,n,n,n,n,n
41,18738,y,3,n,n,y,n,4.0,y,n,n,n,n,y
42,18739,n,3,y,n,n,n,4.0,n,n,n,n,n,y
43,18755,n,1,n,n,n,n,,n,n,n,n,n,n
470,18818,Y,16,Y,Y,Y,N,4.0,Y,Y,Y,Y,Y,Y
44,18940,y,7,n,y,y,y,5.0,y,y,y,y,y,y
45,18990,n,2,n,n,n,n,3.0,n,n,n,n,n,y
46,19075,n,1,n,n,n,n,,n,n,n,n,n,n
47,19175,y,3,n,n,n,n,3.0,n,n,n,n,n,y
160,19184,y,31,y,y,y,y,4.0,y,n,y,n,n,y
48,19282,y,4,y,n,n,n,3.0,n,y,y,n,n,y
49,19356,n,1,n,n,n,n,,n,n,n,n,n,n
672,19421,N,1,N,N,N,N,,N,N,N,N,N,N
671,19446,N,1,N,N,N,N,,N,N,N,N,N,N
670,19451,Y,2,N,N,N,N,5.0,N,Y,N,N,Y,N
669,19528,Y,2,N,N,Y,N,3.0,N,Y,N,N,N,Y
668,19575,Y,2,N,N,N,N,5.0,N,N,N,N,N,Y
667,19614,Y,2,N,N,Y,N,3.0,N,Y,N,N,N,N
97,1963,y,12,y,y,y,y,4.0,y,y,y,y,y,y
666,19660,Y,4,N,N,Y,N,4.0,N,N,N,N,N,Y
665,19706,Y,3,Y,N,N,N,2.0,N,Y,N,N,Y,Y
664,19738,N,1,Y,N,N,N,,N,N,N,N,N,N
663,19773,Y,7,Y,Y,Y,N,4.0,Y,Y,Y,N,N,Y
662,19807,Y,2,,N,Y,N,4.0,N,Y,N,N,N,N
732,20 (a),Y,53,Y,Y,Y,Y,4.0,Y,Y,Y,Y,Y,Y
733,20 (b),Y,19,Y,Y,Y,Y,5.0,Y,Y,Y,Y,Y,Y
660,20080,N,1,N,N,N,N,,N,N,N,N,N,N
659,20152,N,1,N,N,N,N,,N,N,N,N,N,N
661,20199,Y,8,Y,N,N,N,5.0,N,Y,N,N,Y,Y
468,20313,Y,54,Y,Y,Y,Y,3.0,N,Y,Y,Y,Y,Y
658,20371,Y,6,Y,N,N,N,5.0,N,N,N,N,N,Y
657,20428,Y,6,N,Y,Y,N,4.0,N,Y,N,N,Y,Y
656,20455,N,1,N,N,N,N,,N,N,N,N,N,N
655,20469,N,1,N,N,N,N,,N,N,N,N,N,N
654,20482,N,1,N,N,N,N,,N,N,N,N,N,N
653,20526,N,1,N,N,N,N,,N,N,N,N,N,N
652,20689,Y,5,N,Y,Y,N,4.0,N,Y,N,N,Y,Y
651,20785,Y,2,N,N,N,N,2.0,N,N,N,N,N,N
650,20788,Y,3,N,N,Y,N,4.0,N,N,N,N,N,Y
649,20849,Y,4,Y,N,N,N,4.0,N,Y,N,N,N,Y
648,20853,Y,4,N,N,Y,N,4.0,N,N,N,N,N,N
647,20961,Y,8,Y,Y,Y,Y,4.0,N,Y,Y,N,Y,N?
646,20975,N,1,N,N,N,N,,N,N,N,N,N,N
645,21001,Y,9,N,N,Y,Y,5.0,N,N,N,N,Y,N
467,21135,Y,10,Y,Y,N,N,4.0,N,Y,Y,N,Y,Y
644,21142,Y,3,Y,N,N,N,3.0,N,Y,Y,N,N,Y
643,21172,Y,2,N,N,Y,N,2.0,N,Y,Y,Y,N,Y
98,2123,,,,,,,,,,,,,
99,2124,y,5,n,n,y,n,4.0,y,y,y,y,y,y
100,2125,y,13,n,n,n,n,4.0,n,n,n,n,y,y
642,21264,Y,9,Y,N,N,N,4.0,N,Y,N,N,Y,Y
641,21312,Y,3,N,N,N,N,4.0,N,N,N,N,Y,N
639,21354,N,1,N,N,N,N,,N,N,N,N,N,N
640,21384,N,1,N,N,N,N,,N,N,N,N,N,N
638,21562,N,1,N,N,N,N,,N,N,N,N,N,N
778,2160,Y,5,N,N,N,Y,3.0,N,N,N,N,Y,Y
637,21611,Y,2,N,N,N,N,1.0,N,N,N,N,N,N
101,2163,,,,,,,,,,,,,
636,21680,Y,2,N,N,N,N,5.0,N,N,N,N,Y,N
635,21719,Y,2,N,N,N,N,5.0,N,N,N,N,Y,N
634,21749,Y,4,N,Y,N,N,3.0,N,N,Y,N,N,Y
632,21943,Y,2,N,N,Y,N,1.0,N,N,N,N,N,Y
631,21978,Y,6,Y,Y,Y,Y,4.0,Y,Y,N,N,N,Y
466,21986,Y,2,N,N,N,N,4.0,N,N,N,N,Y,Y
465,22008,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
464,22139,N,2,N,N,N,N,,N,N,N,N,N,N
463,22215,N,2,N,N,N,N,,N,N,N,N,N,N
462,22300,Y,7,N,Y,Y,Y,4.0,N,Y,Y,Y,Y,Y
929,22376,Y,31,Y,Y,Y,Y,4.0,N,Y,Y,N,N,Y
461,22377,Y,3,N,N,N,N,3.0,N,N,Y,N,Y,Y
460,22489,Y,3,Y,N,N,N,2.0,N,N,N,N,Y,Y
459,22556,N,2,N,N,N,N,,N,N,N,N,N,N
458,22631,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
457,22719,Y,10,N,Y,Y,N,,,,,,,
779,2273,Y,7,Y,Y,Y,Y,4.0,N,Y,Y,N,Y,Y
456,22750,N,2,N,N,N,N,,N,N,N,N,N,N
455,22766,N,2,N,N,N,N,,N,N,N,N,N,N
454,22808,Y,2,N,N,Y,N,2.0,N,N,N,N,Y,Y
452,22903,N,2,N,N,N,N,,N,N,N,N,N,N
451,22977,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
450,23007,Y,2,N,N,N,N,3.0,N,N,N,N,Y,Y
449,23009,Y,5,N,Y,Y,N,4.0,N,N,Y,N,Y,Y
780,2303,Y,37,Y,N,Y,N,4.0,N,Y,N,Y,Y,Y
448,23136,Y,2,Y,N,N,N,5.0,N,N,N,N,Y,Y
367,23187,Y,4,N,N,N,N,2.0,N,N,N,N,N,Y
447,23199,Y,18,N,N,N,N,4.0,N,N,N,N,Y,Y
446,23207,Y,2,N,N,N,N,4.0,N,N,Y,N,Y,Y
445,23208,Y,3,N,N,N,N,2.0,N,N,N,N,Y,Y
368,23225,Y,33,Y,Y,Y,N,4.0,N,Y,Y,Y,Y,Y
781,2327,Y,2,N,Y,N,N,2.0,N,Y,N,N,N,N
443,23270,Y,3,N,N,N,N,5.0,N,N,N,N,N,N
442,23274,N,2,N,N,N,N,,N,N,N,N,N,N
441,23348,Y,3,N,N,N,N,4.0,N,N,Y,N,N,Y
174,23432,y,13,y,y,y,y,4.0,y,y,y,y,n,y
440,23443,Y,5,N,Y,N,N,4.0,N,N,Y,N,Y,Y
439,23448,Y,3,N,N,Y,Y,4.0,N,N,N,N,N,N
438,23449,Y,3,N,N,N,N,3.0,N,N,Y,N,Y,Y
437,23527,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
436,23535,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
435,23551,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
434,23603,Y,5,N,Y,N,N,4.0,N,Y,Y,N,Y,Y
370,23623,Y,10,N,N,N,N,3.0,N,N,N,N,N,Y
433,23632,N,2,N,N,N,N,,N,N,N,N,N,N
373,23645,Y,9,N,N,Y,N,3.0,N,Y,N,Y,Y,Y
432,23691,Y,4,N,N,N,N,4.0,N,N,N,N,Y,N
431,23751,Y,6,Y,N,Y,Y,2.0,N,Y,N,Y,Y,
430,23805,N,1,N,N,N,N,,N,N,N,N,N,N
429,23839,N,2,N,N,N,N,,N,N,N,N,N,N
428,23960,N,2,N,N,N,N,,N,N,N,N,N,N
427,24081,Y,1,N,N,N,N,4.0,N,N,N,N,N,Y
426,24164,N,2,N,N,N,N,,N,N,N,N,N,N
425,24166,N,2,N,N,N,N,,N,N,N,N,N,N
424,24298,N,2,N,N,N,N,,N,N,N,N,N,N
423,24317,Y,5,N,N,N,N,2.0,N,N,Y,N,Y,Y
374,24377,Y,7,N,N,N,N,3.0,N,N,N,N,Y,Y
375,24378,Y,5,N,N,N,N,3.0,N,N,N,N,Y,Y
422,24428,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
377,24591,Y,45,Y,Y,Y,N,4.0,Y,Y,Y,Y,N,Y
378,24635,Y,20,Y,N,N,N,3.0,N,N,Y,N,Y,Y
380,24651,Y,18,Y,Y,Y,N,3.0,Y,N,Y,N,Y,Y
421,24880,Y,5,N,Y,N,N,4.0,N,Y,N,N,N,Y
420,24992,Y,3,Y,N,Y,N,3.0,N,Y,Y,Y,N,N
419,25028,N,2,N,N,N,N,,N,N,N,N,N,N
418,25095,N,2,N,N,N,N,,N,N,N,N,N,N
417,25118,Y,2,N,N,Y,Y,4.0,4,N,N,N,Y,N
821,25162,Y,2,Y,N,Y,N,4.0,N,N,N,N,N,Y
823,25204,N,1,N,N,N,N,,N,N,N,N,N,N
824,25227,N,1,N,N,N,N,,N,N,N,N,N,N
825,25268,N,1,N,N,N,N,,N,N,N,N,N,N
826,25278,Y,2,Y,Y,N,N,3.0,N,N,N,N,N,Y
827,25297,N,1,N,N,N,N,,N,N,N,N,N,N
828,25301,N,1,N,N,N,N,,N,N,N,N,N,N
829,25344,N,1,N,N,N,N,,N,N,N,N,N,N
831,25367,N,1,N,N,N,N,,N,N,N,N,N,N
832,25404,N,1,N,N,N,N,,N,N,N,N,N,N
833,25415,N,1,N,N,N,N,,N,N,N,N,N,N
834,25432,N,1,N,N,N,N,,N,N,N,N,N,N
835,25435,N,1,N,N,N,N,,N,N,N,N,N,N
836,25451,Y,3,Y,N,N,N,2.0,N,Y,N,Y,N,N
837,25493,Y,9,N,Y,N,N,2.0,N,Y,Y,Y,N,Y
838,25509,N,1,N,N,N,N,,N,N,N,N,N,N
371,25571,Y,10,N,N,Y,N,3.0,N,N,Y,N,N,Y
840,25616,N,1,N,N,N,N,,N,N,N,N,N,N
841,25702,Y,9,N,N,Y,N,3.0,N,Y,Y,N,Y,Y
842,25714,N,1,N,N,N,N,,N,N,N,N,N,N
843,25731,N,1,N,N,N,N,,N,N,N,N,N,N
844,25780,Y,3,N,N,N,N,1.0,N,N,Y,N,N,Y
845,25827,Y,2,N,N,N,N,2.0,N,N,N,N,N,N
848,25961,N,1,N,N,N,N,,N,N,N,N,N,N
547,25979,Y,5,Y,N,Y,Y,4.0,N,N,N,N,Y,Y
850,25986,Y,3,N,N,Y,N,2.0,N,N,N,N,N,Y
549,26053,,1,N,N,N,N,,N,Y,N,N,N,N
372,26059,Y,11,N,N,Y,N,3.0,N,N,Y,N,N,Y
550,26132,Y,17,N,Y,Y,N,5.0,N,N,N,N,Y,Y
551,26154,Y,2,Y,N,Y,N,5.0,N,Y,N,N,N,Y
552,26165,Y,3,N,N,Y,N,4.0,N,Y,N,N,Y,Y
553,26219,,1,N,N,N,N,,N,Y,N,N,N,N
782,2623,Y,1,Y,N,Y,N,2.0,N,Y,Y,N,Y,N
102,2624,y,8,n,n,y,n,4.0,n,y,n,y,y,y
554,26399,,1,N,N,N,N,,N,Y,N,N,N,N
555,26432,,1,N,N,N,N,,N,Y,N,N,N,N
556,26533,Y,2,N,N,Y,N,5.0,N,N,N,N,Y,N
783,2655,Y,1,N,N,N,N,1.0,N,N,N,N,Y,N
557,26682,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
386,26691,,,Y,,,,,,,,,,
558,26771,Y,2,N,N,N,N,4.0,N,N,N,N,Y,N
103,2678,y,7,n,n,n,n,5.0,n,n,n,n,y,n
559,26826,,1,N,N,N,N,,N,Y,N,N,N,N
560,26856,Y,4,N,N,N,N,3.0,N,Y,Y,N,Y,N
561,26885,,1,N,N,N,N,,N,Y,N,N,N,N
562,26920,Y,5,Y,N,N,N,4.0,N,N,Y,N,Y,N
563,26947,Y,3,N,N,Y,N,5.0,N,Y,N,N,N,Y
564,26964,Y,3,N,N,Y,N,5.0,N,N,Y,Y,N,Y
565,26966,Y,2,N,N,N,N,5.0,N,N,N,N,N,Y
104,2701,y,13,4,y,y,y,4.0,n,y,y,n,n,y
566,27079,Y,17,Y,N,Y,N,5.0,N,N,N,N,Y,Y
567,27234,,1,N,N,N,N,,N,Y,N,N,N,N
376,27296,Y,7,Y,N,Y,N,3.0,Y,Y,Y,N,N,Y
569,27447,Y,9,N,Y,Y,Y,4.0,N,Y,Y,N,Y,Y
570,27487,Y,2,N,N,N,N,5.0,N,N,N,N,N,Y
571,27587,Y,4,Y,N,Y,N,3.0,N,Y,Y,Y,Y,Y
572,27603,Y,9,N,Y,Y,N,5.0,N,Y,Y,Y,N,Y
232,27627,y,45,y,y,y,y,5.0,y,y,n,y,n,y
105,2763,y,8,n,n,n,y,4.0,y,n,n,n,n,y
106,2764,y,11,n,n,n,n,4.0,n,y,n,n,y,y
107,2765,n,10,n,n,n,n,5.0,n,y,n,n,n,y
233,27717,n,1,n,n,n,n,1.0,n,n,n,n,n,n
108,2814,,,,,,,,,,,,,
109,2820,y,12,n,n,y,n,3.0,n,y,n,y,y,y
110,2840,n,6,n,n,y,n,3.0,y,y,y,y,n,y
385,28553,Y,7,N,N,N,N,2.0,N,N,Y,N,N,Y
111,2907,n,8,n,n,y,n,4.0,n,y,n,y,y,y
236,29148,y,14,n,y,y,y,4.0,n,n,n,n,n,y
235,29376,n,1,n,n,n,n,1.0,n,n,n,n,n,n
237,29463,n,1,y,n,n,y,3.0,n,n,n,n,n,n
379,29467,Y,23,Y,N,Y,N,4.0,N,Y,Y,N,Y,Y
238,29516,y,4,n,n,n,y,3.0,n,n,n,n,n,n
112,2952,n,7,y,n,n,n,4.0,n,n,n,n,n,y
113,2953,y,7,y,n,n,n,4.0,n,y,n,n,n,y
239,29536,y,2,n,n,y,y,3.0,n,n,n,n,n,n
727,296,Y,5,Y,N,N,N,3.0,N,Y,N,N,N,Y
114,2961,n,16,n,n,n,n,4.0,n,n,n,n,y,n
784,2962,Y,5,N,Y,N,N,2.0,N,Y,Y,N,N,N
241,29658,y,3,n,n,y,y,3.0,n,n,n,n,n,n
717,297,Y,8,Y,N,N,N,4.0,N?,Y,N,N,N,N
242,29744,n,1,n,n,n,n,1.0,n,n,n,n,n,n
785,2986,Y,3,N,N,N,N,2.0,N,Y,N,N,N,Y
786,2989,Y,2,N,N,N,N,1.0,N,N,N,N,N,N
115,2997,n,6,n,n,n,n,4.0,n,y,y,y,n,y
243,30093,y,2,n,n,n,n,3.0,n,n,n,n,n,n
244,30108,n,1,n,n,n,n,1.0,n,n,n,n,n,n
245,30198,n,1,n,n,n,n,1.0,n,n,n,n,n,n
246,30242,n,11,n,n,y,y,3.0,y,y,y,y,n,y
247,30304,y,4,y,n,y,y,5.0,n,y,n,y,n,y
248,30308,y,5,y,y,y,y,3.0,n,y,n,y,y,y
249,30322,y,2,n,n,y,y,4.0,n,y,y,y,n,y
250,30325,y,40,n,n,y,y,4.0,y,y,y,y,n,y
251,30332,y,10,n,n,y,y,3.0,y,n,n,y,n,n
252,30349,y,4,n,n,n,y,3.0,n,n,y,y,n,y
253,30427,n,1,n,n,n,n,1.0,n,n,n,n,n,n
254,30453,n,1,n,n,n,n,1.0,n,n,n,n,n,n
255,30458,y,4,n,y,y,y,3.0,n,y,n,y,n,y
256,30527,n,1,n,n,n,n,1.0,n,n,n,n,n,n
382,30673,Y,15,Y,Y,Y,N,2.0,N,N,Y,N,Y,Y
257,30677,y,7,n,n,y,y,5.0,y,n,n,n,n,y
258,30714,y,3,n,n,n,n,3.0,n,y,n,y,n,y
259,30769,y,10,n,y,y,y,5.0,y,IO,y,y,n,y
260,30780,n,1,n,n,n,n,4.0,n,n,n,n,n,n
384,30822,Y,18,Y,N,Y,N,3.0,Y,Y,Y,N,N,Y
319,30886,N,1,N,N,N,N,,N,N,N,N,N,N
320,31010,N,1,N,N,N,N,,N,N,N,N,N,N
321,31041,Y,3,N,N,Y,N,2.0,N,N,Y,N,N,Y
322,31069,Y,9,Y,Y,N,N,3.0,N,Y,Y,N,Y,Y
323,31113,N,1,N,N,N,N,,N,N,N,N,N,N
324,31181,Y,3,N,Y,Y,N,2.0,N,N,Y,N,N,Y
