treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
102,y,11209,y,y,y,n,4,y,y,y,n,y,y
108,y,3596,n,y,y,n,4,y,n,n,n,n,n
15,y,15901,y,y,y,n,4,y,y,n,n,y,y
170,y,4897,n,y,n,n,5,n,n,y,n,n,y
172,y,12918,y,y,y,n,4,n,n,n,n,n,y
20 (b),y,10920,y,y,y,n,4,n,n,y,n,y,y
296,y,1404,y,n,n,n,4,y,n,n,n,n,y
297,y,1826,y,y,n,n,5,n,n,n,n,n,n
345,y,2365,n,y,n,n,3,n,n,n,n,n,y
449,y,6154,n,y,y,n,4,y,n,y,n,y,y
55 (a),y,1570,n,n,n,n,4,n,n,n,n,y,y
